RegionID,zipcode,City,State,Metro,CountyName,SizeRank,PctChangeLast6Mos,PctChangeYOY
98875,96738,Waikoloa,HI,Hilo,Hawaii County,8874,-0.006060606,0
65918,19425,Chester Springs,PA,Philadelphia-Camden-Wilmington,Chester County,7485,-0.00621118,0
67463,22967,Roseland,VA,Charlottesville,Nelson County,13131,-0.00621118,0
97109,93041,Port Hueneme,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,5484,-0.00625,0
399556,22551,Spotsylvania,VA,Washington-Arlington-Alexandria,Spotsylvania County,6072,-0.00625,0
60375,6525,Woodbridge,CT,New Haven-Milford,New Haven County,9088,-0.006329114,0
61174,8758,Ocean,NJ,New York-Newark-Jersey City,Ocean County,8703,-0.006451613,0
85880,63038,Wildwood,MO,St. Louis,Saint Louis County,10316,-0.006535948,0
66766,21078,Havre de Grace,MD,Baltimore-Columbia-Towson,Harford County,5374,-0.006666667,0
61927,10926,Harriman,NY,New York-Newark-Jersey City,Orange County,11834,-0.006711409,0
76512,43082,Westerville,OH,Columbus,Franklin County,3261,-0.006802721,0
72905,33912,Fort Myers,FL,Cape Coral-Fort Myers,Lee County,3744,-0.006896552,0
65869,19344,Honey Brook,PA,Philadelphia-Camden-Wilmington,Chester County,8438,-0.006944444,0
80201,50171,Montezuma,IA,,Poweshiek County,12618,-0.006944444,0
90616,75009,Celina,TX,Dallas-Fort Worth-Arlington,Collin County,7244,-0.006993007,0
60686,7463,Waldwick,NJ,New York-Newark-Jersey City,Bergen County,8975,-0.007272727,0
85885,63043,Maryland Heights,MO,St. Louis,Saint Louis County,4654,-0.00729927,0
79141,48331,Farmington Hills,MI,Detroit-Warren-Dearborn,Oakland County,5199,-0.007352941,0
65972,19505,Washington,PA,Reading,Berks County,12127,-0.007352941,0
60895,7981,Hanover,NJ,New York-Newark-Jersey City,Morris County,9051,-0.007380074,0
67660,23325,Chesapeake,VA,Virginia Beach-Norfolk-Newport News,Chesapeake City,6097,-0.007407407,0
99039,97035,Lake Oswego,OR,Portland-Vancouver-Hillsboro,Clackamas County,3677,-0.007462687,0
94662,84726,Escalante,UT,,Garfield County,14938,-0.007518797,0
78995,48124,Dearborn,MI,Detroit-Warren-Dearborn,Wayne County,2388,-0.007575758,0
422746,75033,Frisco,TX,Dallas-Fort Worth-Arlington,Collin County,2759,-0.007633588,0
91838,77316,Montgomery,TX,Houston-The Woodlands-Sugar Land,Montgomery County,4309,-0.007874016,0
94693,84759,Panguitch,UT,,Garfield County,13848,-0.007874016,0
60675,7444,Riverdale,NJ,New York-Newark-Jersey City,Morris County,7779,-0.008,0
91968,77479,Sugar Land,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,47,-0.008130081,0
61105,8550,West Windsor,NJ,Trenton,Mercer County,6085,-0.008264463,0
66933,21631,East New Market,MD,Cambridge,Dorchester County,13042,-0.008333333,0
91839,77318,Willis,TX,Houston-The Woodlands-Sugar Land,Montgomery County,6307,-0.008403361,0
83924,59072,Roundup,MT,,Musselshell County,11117,-0.008474576,0
66099,19946,Frederica,DE,Dover,Kent County,11041,-0.008547009,0
91869,77356,Montgomery,TX,Houston-The Woodlands-Sugar Land,Montgomery County,2058,-0.00862069,0
84403,60153,Maywood,IL,Chicago-Naperville-Elgin,Cook County,5918,-0.008695652,0
96797,92313,Grand Terrace,CA,Riverside-San Bernardino-Ontario,San Bernardino County,8142,-0.008733624,0
91982,77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4,-0.00877193,0
66656,20837,Poolesville,MD,Washington-Arlington-Alexandria,Montgomery County,10545,-0.008888889,0
62544,12414,Catskill,NY,,Greene County,7814,-0.008928571,0
99516,98031,Kent,WA,Seattle-Tacoma-Bellevue,King County,2401,-0.00896861,0
87127,66211,Leawood,KS,Kansas City,Johnson County,10326,-0.00913242,0
96623,92069,San Marcos,CA,San Diego-Carlsbad,San Diego County,1910,-0.009146341,0
75916,41092,Verona,KY,Cincinnati,Boone County,12377,-0.009174312,0
91941,77450,Cinco Ranch,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,178,-0.009259259,0
91888,77378,Willis,TX,Houston-The Woodlands-Sugar Land,Montgomery County,6614,-0.009259259,0
81120,52776,West Liberty,IA,Muscatine,Muscatine County,11302,-0.009259259,0
61225,8869,Raritan,NJ,New York-Newark-Jersey City,Somerset County,9388,-0.009302326,0
58940,2852,North Kingstown,RI,Providence-Warwick,Washington County,4315,-0.009433962,0
67804,23707,Portsmouth,VA,Virginia Beach-Norfolk-Newport News,Portsmouth City,6559,-0.009433962,0
99529,98045,North Bend,WA,Seattle-Tacoma-Bellevue,King County,6749,-0.009433962,0
65679,18977,Upper Makefield,PA,Philadelphia-Camden-Wilmington,Bucks County,11426,-0.00952381,0
82251,55401,Minneapolis,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,6242,-0.009584665,0
61945,10960,Orangetown,NY,New York-Newark-Jersey City,Rockland County,6685,-0.009615385,0
68615,25438,Ranson,WV,Washington-Arlington-Alexandria,Jefferson County,9578,-0.009615385,0
89380,72113,Maumelle,AR,Little Rock-North Little Rock-Conway,Pulaski County,3297,-0.009708738,0
63895,15089,West Newton,PA,Pittsburgh,Westmoreland County,9773,-0.009708738,0
91896,77386,Spring,TX,Houston-The Woodlands-Sugar Land,Harris County,720,-0.00990099,0
65657,18947,Plumstead,PA,Philadelphia-Camden-Wilmington,Bucks County,10782,-0.00990099,0
85940,63122,Kirkwood,MO,St. Louis,Saint Louis County,1240,-0.01,0
